Word,Length,SUBTLWF,Concreteness_Rating,Emotional_Valence
crime,5,71.24,3.03,1.95
criminal,8,34.47,3.48,2.11
crimson,7,1.31,4,5.67
cripple,7,3.80,3.78,2.47
crisis,6,16.65,2.33,2.05
crisp,5,3.16,3.69,5.23
crispy,6,2.27,4.04,6.18
critic,6,3.76,3.55,4.1
critical,8,12.25,2.14,3.95
criticism,9,3.04,2.07,3.84
criticize,9,2.16,2.03,2.41
critter,7,1.27,4.19,5.4
croak,5,1.16,3.82,3.29
crock,5,2.02,3.56,5.1
crocodile,9,2.25,4.83,3.15
crook,5,5.67,3.79,2.86
crooked,7,5.69,3.79,3.17
crop,4,4.86,4.24,5.88
cross,5,55.04,4.44,5.67
crossbow,8,1.10,4.77,4.91
crossword,9,1.75,4.48,6.58
crotch,6,2.75,4.77,4.62
crow,4,4.45,4.93,4.32
crowbar,7,1.29,4.87,4.81
crowd,5,37.37,4.52,4.48
crowded,7,8.94,3.28,3.2
crown,5,13.69,4.81,6
crucial,7,4.59,2.08,5.16
crucifix,8,1.18,4.45,4.1
crucify,7,2.18,3.45,2.26
crude,5,3.04,1.96,3.24
cruel,5,18.35,2.11,2.73
cruelty,7,3.25,2.04,2.37
cruise,6,12.27,4.03,6.47
cruiser,7,3.18,3.78,5.32
crumb,5,1.80,4.8,5.14
crumble,7,1.39,4.04,4.25
crummy,6,3.35,2.57,3.9
crunch,6,3.51,3.36,4.79
crusade,7,3.80,2.78,4.24
crusader,8,1.12,3.63,5.63
crush,5,16.80,3.9,4.72
crushed,7,8.45,4.21,2.87
crusher,7,1.10,4,4.8
crust,5,3.25,4.59,5.76
crusty,6,1.06,4.14,4.29
crutch,6,1.31,4.5,3.64
cry,3,65.65,4,3.22
crybaby,7,1.31,3.29,2.95
crypt,5,1.37,4.75,2.67
cryptic,7,1.04,2.36,3.86
crystal,7,16.14,4.58,6.75
cub,3,2.10,4.67,6.71
cube,4,2.98,4.62,4.75
cubicle,7,2.57,4.83,3.8
cuckoo,6,2.96,4.42,4.79
cucumber,8,1.98,4.83,6.47
cuddle,6,2.16,3.83,7.6
cue,3,7.78,3.31,5.84
cuff,4,5.71,4.61,4.81
cuisine,7,1.94,3.7,6.88
culinary,8,1.20,2.96,6.33
culprit,7,1.08,3.39,2.9
cult,4,4.45,2.71,2.77
cultural,8,3.96,2.1,6.9
culture,7,13.94,2.04,6.28
cunning,7,4.06,2.12,5.05
cup,3,51.65,5,5.94
cupboard,8,2.49,4.79,4.81
cupcake,7,3.27,5,6.9
curb,4,4.10,4.68,4.65
cure,4,20.84,2.41,7.81
curfew,6,4.59,2.73,4.14
curiosity,9,8.53,1.61,6.37
curious,7,26.22,1.75,6.58
curl,4,2.35,4.38,5.72
currency,8,3.65,4.25,5.9
current,7,17.04,3.16,5.53
curriculum,10,1.37,3.23,5.3
curry,5,2.43,4.84,5.4
curse,5,18.22,2.39,2.9
curt,4,2.67,2.35,4.05
curtain,7,10.29,4.82,5.36
curve,5,4.61,4.41,5.81
cushion,7,2.16,4.68,5.9
cuss,4,1.06,3.14,4
custard,7,1.25,4.85,5.45
custody,7,19.25,3.03,4.74
custom,6,6.20,2.68,5.29
customary,9,2.18,1.85,5
customer,8,15.20,3.82,5.86
cut,3,229.76,4.55,3.9
cute,4,87.75,2.76,7.56
cutter,6,4.69,4.07,4.05
cyanide,7,1.80,4.32,2.7
cycle,5,5.88,3.64,5.64
cylinder,8,1.57,4.64,5.45
cynic,5,1.10,2.64,3.45
cynical,7,3.67,1.64,3.3
dab,3,1.12,3.6,5
dad,3,507.25,4.29,7.14
daddy,5,185.08,4.24,7.27
daft,4,1.33,2.42,4.5
dagger,6,4.92,4.96,4.38
daily,5,15.63,3.15,5.74
dainty,6,1.20,2.33,6.42
dairy,5,2.78,4.45,6.09
daisy,5,13.51,5,7.48
dam,3,5.75,4.88,4.58
damage,6,33.06,3.2,2.98
dame,4,13.76,3.73,6.1
damn,4,283.53,2,4.32
damnation,9,1.31,1.56,3.14
damp,4,2.92,3.81,4.05
dance,5,148.04,4.32,7.27
dancer,6,16.29,4.75,6.64
dandy,5,4.39,2.73,6.55
danger,6,43.67,2.68,2.66
dangerous,9,74.84,2.13,2.33
dangle,6,1.33,3.36,4.76
dare,4,55.41,2.28,4.67
daring,6,4.20,1.71,6
dark,4,88.61,4.29,5.08
darkness,8,17.49,3.85,4.71
darling,7,129.67,2.54,7.32
darn,4,13.90,3,3.81
dart,4,1.92,4.9,4.76
dash,4,6.04,3.39,5.05
dashing,7,2.25,2.44,6.62
date,4,141.53,3.9,7.18
daughter,8,171.35,4.79,6.73
dawn,4,25.51,4.46,6.74
day,3,801.82,3.92,6.36
daybreak,8,1.37,4.21,7.16
daylight,8,9.57,4.1,6.95
daytime,7,3.78,4.31,7.58
dazzle,6,1.00,2.52,6.46
dazzling,8,1.29,2.1,6.5
deacon,6,2.86,3.52,5.09
dead,4,448.98,4.07,2.02
deadline,8,5.86,2.66,3.19
deadly,6,9.88,2.7,1.9
deaf,4,14.53,3.27,3.19
deal,4,261.37,3.1,6.14
dealer,6,16.29,3.76,4.18
death,5,216.69,3.73,1.89
deathbed,8,1.33,3.83,1.79
debate,6,9.29,3.18,4.95
debrief,7,1.14,2.57,4.59
debris,6,3.12,4.69,4.2
debt,4,14.22,2.72,1.95
debut,5,2.59,1.83,5.81
debutante,9,1.33,3.54,5
decade,6,4.84,3.19,4.75
decadent,8,1.18,2.21,6.09
decay,5,2.06,3.89,2.4
deceased,8,6.29,3.97,2.73
deceit,6,1.86,2.37,2.89
deceitful,9,1.14,2.13,2.6
deceive,7,3.41,1.68,2.95
decency,7,4.63,2,5.55
decent,6,28.10,2.04,6.27
deception,9,3.14,1.86,2.36
decide,6,50.41,1.92,6.28
decipher,8,1.71,2.83,5.09
decision,8,55.06,2.19,5.5
decisive,8,1.29,2.16,6.78
deck,4,23.76,4.77,5.68
declaration,11,3.53,2.52,5.67
declare,7,7.57,2,5.42
decline,7,2.98,2.76,3.19
decode,6,1.08,3,5.5
decor,5,1.02,3.77,5.95
decorate,8,2.31,3.4,6.26
decoration,10,1.84,3.53,6.71
decorator,9,2.10,3.86,6.43
decoy,5,3.57,4.34,4.61
decrease,8,1.18,2.68,4.16
decree,6,1.92,2.68,5.33
dedicate,8,2.43,2.69,6.48
dedication,10,3.39,2.16,7.38
deduct,6,1.08,2.31,4.24
deduction,9,1.71,2.19,5.14
deed,4,9.31,3.86,5.89
deep,4,76.39,3.38,5.44
deer,4,8.71,4.86,6.89
default,7,1.00,2,4.16
defeat,6,11.37,2.96,3.74
defeated,8,5.57,2.59,2.59
defect,6,2.47,2.48,2.89
defective,9,2.16,2.56,3.52
defend,6,18.80,2.31,6.3
defendant,9,17.73,3.8,4.05
defender,8,2.98,3.19,5.05
defense,7,32.65,2.45,5.36
defenseless,11,1.33,2.4,2.68
defensive,9,5.45,2.07,4.65
defiance,8,1.12,2.17,4.15
deficiency,10,1.04,2.07,2.74
deficit,7,1.08,2.21,2.95
define,6,6.24,2.15,5.57
definite,8,6.16,2.07,5.79
definition,10,5.80,3.07,5.63
definitive,10,1.94,1.83,5.57
defy,4,3.10,1.86,4.84
degenerate,10,1.82,2.04,2.7
degree,6,14.88,3,5.63
delay,5,11.02,2.79,3.45
delayed,7,5.37,2.08,3.05
delegate,8,1.43,3.07,5.15
delegation,10,1.37,2.7,5.2
delete,6,1.76,3.48,4
deliberate,10,2.84,1.78,4.8
delicacy,8,1.39,2.81,7
delicate,8,9.51,2.3,6.38
delicious,9,21.53,2.43,7.38
delight,7,5.65,2.3,8.21
delighted,9,12.94,2.86,7.74
delightful,10,9.20,2.38,7.38
delinquent,10,1.39,2.17,3.45
delirious,9,2.65,2.12,4.32
deliver,7,28.35,3.12,6
delivery,8,19.94,3.69,6
delta,5,8.33,3.21,5.3
delusion,8,2.71,2.3,3.3
deluxe,6,1.92,2.13,6.76
demand,6,17.12,2.2,4.1
demeanor,8,1.06,2.44,5.32
demented,8,1.78,1.69,3.11
demise,6,1.71,2.31,3
demo,4,3.29,3.66,5.65
democracy,9,6.61,1.78,6.16
Democrat,8,1.69,3.96,5.54
democratic,10,3.55,1.74,5.7
demolition,10,2.82,3.38,3.91
demon,5,31.24,3.32,3
demonic,7,3.02,2.17,3.05
demonstrate,11,4.67,2.53,5.47
demonstration,13,7.18,3.75,5.5
den,3,6.12,4.57,5.11
denial,6,5.25,2.46,3.57
dense,5,2.12,3.14,4.68
density,7,1.43,2.52,5.15
dent,4,3.53,4.63,3.52
dental,6,6.18,3.08,4.73
dentist,7,11.20,4.93,3.84
deny,4,21.39,2.2,3.81
deodorant,9,1.61,5,6.09
depart,6,2.14,2.86,4.05
department,10,63.84,3.3,5.33
departure,9,5.39,3.07,4.05
depend,6,9.88,1.89,5
dependable,10,1.67,1.86,7.24
dependent,9,2.24,2.32,4.5
deploy,6,2.65,2.96,4.25
deployment,10,1.25,2.9,3.32
deposit,7,10.80,3.92,6.25
deposition,10,3.00,2.92,3.53
depot,5,2.94,4.14,5.18
depressed,9,16.27,1.93,2.27
depressing,10,6.35,1.79,2.48
depression,10,7.96,2.39,2.44
deprive,7,1.31,2.21,3.37
depth,5,8.25,3.11,5.8
deputy,6,15.65,4.07,5.3
descend,7,1.92,3.18,4.67
descendant,10,1.08,3.53,5.26
descent,7,2.59,3,5.3
describe,8,16.98,2.18,5.9
description,11,12.65,2.43,5.24
desert,6,27.98,4.86,5.36
deserve,7,43.73,1.69,6.77
design,6,16.20,3.27,6.8
designated,10,2.59,2.42,5.1
designer,8,5.24,3.78,5.57
desirable,9,1.94,1.92,6.95
desire,6,20.27,1.7,7.05
desk,4,43.90,4.87,5.56
despair,7,5.86,2.21,3.61
desperate,9,25.69,1.73,3.19
desperation,11,3.02,1.9,2.55
despicable,10,2.10,1.43,2.76
despise,7,4.51,2.12,3.08
dessert,7,14.02,4.93,7.2
destination,11,5.88,3.82,6.4
destiny,7,23.04,1.67,6.73
destroy,7,47.18,3.08,2.67
destroyer,9,3.63,3.59,2.16
destruction,11,11.51,3.21,2.53
destructive,11,2.39,2.17,3.11
detached,8,1.55,2.56,3.65
detachment,10,1.27,2.48,4.3
detail,6,19.39,2.5,5.67
detailed,8,3.92,2.27,6.1
detain,6,1.82,2.74,3
detect,6,5.12,2.19,5.09
detection,9,1.67,2.57,4.63
detective,9,61.12,4.21,5.06
detector,8,3.25,3.7,4.42
detention,9,6.53,3.26,3.28
detergent,9,1.02,4.77,5.42
determination,13,2.78,1.7,7.58
determine,9,8.39,2.13,6
detest,6,1.43,2.36,3.05
detonate,8,2.08,3.19,3.26
detonation,10,1.82,3.15,3.4
detonator,9,2.37,4.76,4.3
detour,6,2.10,3.66,3.86
deuce,5,2.86,3.04,4.53
devastating,11,2.73,2.1,2.09
develop,7,9.61,1.87,6.05
development,11,12.25,2.41,5.25
deviant,7,1.06,2.04,3.35
device,6,18.16,3.97,5.79
devil,5,41.33,3.41,3.11
devious,7,1.75,2.18,3.57
devote,6,1.96,2,5.53
devoted,7,8.02,1.88,7.16
devotion,8,4.14,2.36,6
devour,6,1.06,3.14,5.21
dew,3,2.14,4.38,4.79
diabetes,8,3.25,3.83,2.74
diabetic,8,2.22,3.38,3
diabolical,10,1.08,1.5,3.23
diagnose,8,1.04,1.92,5
diagnosis,9,4.29,2.63,4.62
diagnostic,10,1.41,2.47,4.81
diagram,7,1.27,4.36,5.47
dial,4,8.86,4.52,4.63
dialect,7,1.33,2.67,6
dialogue,8,4.08,3,6.25
dialysis,8,1.51,3.54,3.24
diameter,8,1.04,4.03,4.76
diamond,7,20.65,4.89,6.88
diaper,6,4.27,4.82,3.71
diaphragm,9,2.06,3.93,4.67
diarrhea,8,2.39,4.52,2.1
diary,5,8.98,4.5,6
dibs,4,2.31,2.23,5.21
dice,4,10.45,4.86,5.8
dictate,7,1.75,3.15,4.4
dictator,8,2.12,4.29,2.77
dictionary,10,3.73,4.62,6.05
die,3,261.14,3.07,1.67
diesel,6,2.65,3.88,4.32
diet,4,15.37,3.21,4.42
differ,6,2.43,1.59,5.1
difference,10,79.73,2.15,4.89
different,9,209.53,1.97,5.91
difficult,9,60.16,2.21,3.78
difficulty,10,5.59,1.9,2.57
dig,3,46.22,4.33,5.28
digest,6,3.29,3.07,4.74
digestion,9,1.02,3.66,4.5
digital,7,5.39,3.63,6
dignified,9,2.69,1.57,6.55
dignity,7,10.80,2.03,7.2
dilemma,7,2.61,2,4.24
dill,4,1.76,4.07,5.85
dim,3,4.76,3.31,3.37
dime,4,12.06,4.85,5.58
dimension,9,4.63,2.5,5.24
dimensional,11,1.08,2.12,6.16
dine,4,4.29,3.37,6.6
diner,5,12.39,4.82,6.75
dingo,5,1.29,4.73,5.65
dining,6,11.73,3.75,6.77
dinky,5,1.02,2.67,4.1
dinner,6,202.67,4.5,6.4
dinnertime,10,1.78,3.62,6.58
dinosaur,8,3.98,4.87,6.11
dioxide,7,1.02,2.81,4.58
dip,3,7.96,4.22,5.42
diploma,7,2.53,4.93,6.32
diplomacy,9,1.59,2.04,5.53
diplomat,8,2.14,3.67,4.65
diplomatic,10,5.02,1.86,5.9
dire,4,2.20,1.8,3
direct,6,24.04,2.15,5.75
direction,9,24.08,2.79,5.45
directive,9,1.76,2.72,5.7
director,8,35.96,4.04,4.95
directory,9,1.65,4.25,5.21
dirt,4,25.69,4.86,4.5
dirty,5,66.45,4.23,3.17
disability,10,1.98,3.46,2.95
disable,7,1.55,3.42,3.58
disabled,8,3.47,3.21,2.7
disadvantage,12,1.12,1.96,2.68
disagree,8,6.63,2.77,2.84
disagreement,12,1.53,2.97,2.86
disappear,9,20.96,2.86,4.1
disappearance,13,4.31,2.4,3.75
disappoint,10,8.45,1.89,3.38
disappointed,12,22.04,1.92,2.65
disappointing,13,3.43,1.81,2.79
disappointment,14,5.43,1.93,2.79
disapprove,10,1.14,1.89,3.55
disarm,6,2.14,3.55,4.38
disaster,8,17.27,3.07,1.71
disastrous,10,1.67,2.32,2.21
disc,4,2.57,4.85,5.6
discard,7,1.08,3.04,4
discharge,9,6.41,3.83,3.4
disciple,8,1.02,3.29,4.67
disciplinary,12,1.61,2,3.6
discipline,10,9.06,2.24,5.9
disciplined,11,1.73,1.58,6.15
disclose,8,1.73,2.37,4
disclosure,10,1.00,2.18,4.71
disco,5,5.76,3.63,5.76
discomfort,10,1.59,2.28,2.84
disconnect,10,1.84,2.74,3.81
discord,7,1.02,2.26,3.58
discount,8,4.76,2.79,5.78
discourage,10,1.33,1.9,3.05
discover,8,12.04,2.37,7.18
discovery,9,11.45,2.36,6.81
discreet,8,4.06,2.11,5.05
discretion,10,3.67,1.6,5.4
discrimination,14,2.18,2.29,2.45
discuss,7,45.67,3.17,5.89
discussion,10,12.14,3.07,6.18
disease,7,26.18,3.45,1.68
diseased,8,1.14,3.36,2.24
disengage,9,1.06,2.69,4.05
disgrace,8,8.02,2.11,2.45
disgraceful,11,1.82,1.93,2.35
disgruntled,11,1.04,1.4,3.11
disguise,8,7.80,3.97,4.81
disgust,7,2.76,2.19,3.32
disgusted,9,1.76,2.34,2.68
disgusting,10,26.61,2.21,2.27
dish,4,11.45,4.9,5.7
dishonest,9,2.59,1.89,3
dishonor,8,1.20,1.72,2.37
dishwasher,10,2.02,4.86,5.32
disk,4,6.63,4.8,5.24
dislike,7,3.92,1.7,3.25
dismiss,7,5.47,2.39,4.58
dismissal,9,1.12,2,4.05
dismount,8,1.43,3.72,5.05
disobey,7,1.65,2.42,3.19
disorder,8,7.14,3.1,3.76
disorderly,10,1.35,2.71,2.95
disoriented,11,1.22,2.21,3.26
dispatch,8,6.86,2.93,4.9
dispense,8,1.35,3.26,5.24
dispenser,9,1.02,3.84,5.26
disperse,8,1.78,2.85,4.19
display,7,8.53,3.86,6.19
disposable,10,1.84,2.41,4
disposal,8,4.90,2.89,4
dispose,7,3.14,3.59,4
disposition,11,2.16,2.1,4.81
dispute,7,3.14,2.9,2.52
disregard,9,3.51,1.9,4.52
disrespect,10,5.24,1.93,2.81
disrespectful,13,2.06,1.87,2.71
disrupt,7,1.27,2.45,3.48
disruption,10,1.00,2.39,3.32
dissertation,12,1.20,2.81,4.3
dissolve,8,1.86,3.15,5.43
distance,8,25.61,3.17,3.89
distant,7,8.61,2.75,4.74
distasteful,11,1.18,1.83,3.17
distinct,8,3.04,2.11,5.55
distinction,11,2.94,2.08,5.05
distinctive,11,1.55,1.61,6.32
distinguish,11,1.78,2.2,5.26
distinguished,13,6.18,2.14,6.62
distorted,9,2.02,2.57,3.89
distortion,10,1.18,2.3,3.5
distract,8,4.88,2.33,3.68
distraction,11,3.92,2.46,4.05
distraught,10,1.55,2.27,2.81
distress,8,7.27,2.66,3.25
distressed,10,1.39,2.21,3.38
distribute,10,1.49,2.77,5.05
distribution,12,3.08,3.33,5.5
distributor,11,1.53,3.9,4.62
district,8,20.94,3.29,4.9
disturb,7,11.10,3.04,3.45
disturbance,11,3.94,2.7,2.68
disturbing,10,9.08,2.48,2.68
ditch,5,7.86,4.5,3.2
ditto,5,1.67,2.59,5.5
diva,4,1.53,3.64,3.68
dive,4,12.82,4.03,5.81
diver,5,2.43,4.69,5.66
diversion,9,3.10,2.67,5.22
diversity,9,1.10,2.28,6.14
divert,6,2.02,2.86,4.42
divide,6,5.84,2.86,4.78
divine,6,11.65,1.44,7.15
division,8,18.55,2.8,4.42
divorce,7,32.73,3.25,2.49
divulge,7,1.27,2.23,4.79
dizzy,5,8.43,2.59,3.14
do,2,6135.59,2.46,5.41
doc,3,80.82,3.68,4.67
dock,4,9.75,4.64,5.05
docket,6,1.20,3.56,4.53
doctor,6,263.94,4.69,5.93
document,8,10.10,4.41,5.42
documentary,11,5.84,3.78,5.91
documentation,13,1.35,3.55,4.84
Dodger,6,1.27,3.63,4.7
dog,3,192.84,4.85,7
doggy,5,4.41,4.26,7
doghouse,8,1.12,4.79,5.1
doll,4,24.76,5,5.88
dollar,6,27.65,4.93,7.39
dolphin,7,2.76,4.96,6.67
domain,6,2.59,3.4,5.05
dome,4,1.96,4.74,5.95
domestic,8,6.88,2.57,5.05
dominant,8,1.61,1.66,5.15
dominate,8,1.86,2.12,4.4
domination,10,1.55,2.81,3.57
dominion,8,1.14,1.96,4.62
domino,6,4.02,4.59,5
donate,6,3.98,2.88,6.7
donation,8,3.51,3.32,7
donkey,6,5.35,5,6.29
donor,5,4.08,3.54,6.57
doodle,6,2.10,4.21,6.39
doom,4,5.61,1.5,3
door,4,292.06,4.81,5.43
doorbell,8,8.33,4.82,5.33
doorknob,8,1.69,4.97,4.86
doorman,7,3.18,4.79,5.45
doorstep,8,3.37,5,5.14
doorway,7,3.22,4.75,5.68
dope,4,16.08,3,4.14
dopey,5,1.41,2.3,3.86
dorm,4,7.24,4.41,5.16
dormant,7,1.16,2.47,4.85
dormitory,9,1.00,4.64,5.06
dosage,6,2.00,4.07,4.57
dose,4,5.29,3.85,4.91
dossier,7,1.10,4.21,4.84
dot,3,6.63,4.12,4.84
dotted,6,1.00,3.81,4.86
double,6,62.71,3.37,5.78
doubt,5,62.84,1.79,3.28
doubtful,8,1.63,1.73,3.86
douche,6,2.35,4.13,2.9
dough,5,15.88,4.79,6
doughnut,8,4.22,4.96,7.5
dove,4,5.57,4.88,6.9
downfall,8,1.25,2.31,3.2
downward,8,1.18,3.16,4
dowry,5,1.47,3.29,4.7
dozen,5,24.14,4.66,5.78
draft,5,7.27,3.15,5.3
drag,4,26.45,4.17,3.68
dragon,6,19.29,4.39,6.68
dragonfly,9,2.84,4.83,6.45
drain,5,8.63,4.61,3.8
drake,5,5.96,4.26,5.05
drama,5,20.16,2.34,4.37
dramatic,8,9.78,2.12,5.17
drape,5,1.04,4.5,4.95
drastic,7,2.51,1.58,4.63
draw,4,40.41,3.97,6.18
drawer,6,13.00,4.67,4.67
dread,5,2.51,1.86,3
dreaded,7,1.35,2.11,2.11
dreadful,8,8.00,2.23,2.6
dream,5,133.29,2.6,7.43
dreamer,7,3.04,2.19,7.45
dreamy,6,1.57,2.21,7.52
dreary,6,1.80,2.33,3.55
dress,5,87.20,4.93,6.42
dresser,7,3.57,4.96,5.28
dribble,7,1.33,3.83,4.68
drift,5,6.41,3.07,5.09
drifter,7,1.06,3.54,4.95
drill,5,13.75,4.4,4.73
drink,5,247.39,4.76,6.67
drinker,7,1.86,3.32,3.72
drip,4,5.12,4.14,5.52
drive,5,153.14,3.86,6.5
driver,6,47.37,4.71,6.39
driveway,8,6.73,4.77,4.57
drone,5,2.82,3.93,3.5
drool,5,2.16,4.61,3.28
drop,4,130.61,4.21,4.23
drought,7,1.37,3.74,2.79
drown,5,10.59,3.93,2.33
drug,4,45.22,4.48,4.11
drugs,5,48.31,4.63,3.86
drugstore,9,4.29,4.82,4.74
drum,4,8.47,4.96,6.05
drummer,7,3.67,4.44,6.53
drunk,5,76.55,3.48,4.06
drunkard,8,1.22,3.77,3.28
drunken,7,6.18,3.3,3
dry,3,42.82,3.77,4.86
dryer,5,4.53,4.79,5.21
dual,4,1.12,3.07,5.14
dub,3,1.08,3,5.35
dubious,7,1.43,1.52,3.47
duchess,7,4.47,4.46,6.15
duck,4,24.76,4.86,6.11
ducky,5,1.96,3.03,6.6
duct,4,3.14,4.74,4.24
dud,3,1.25,2.78,3.74
dude,4,99.43,3.93,5.91
due,3,44.61,3.21,4.94
duel,4,2.35,3.79,5.05
duet,4,1.29,3.78,6.11
duffel,6,1.49,4.12,4.9
duke,4,25.04,4,4.8
dull,4,12.08,2.37,3.4
dumb,4,46.96,2.36,2.44
dummy,5,9.80,3.96,3.66
dump,4,28.82,3.93,3.73
dune,4,1.00,4.46,5.35
dung,4,1.76,4.64,3.86
dungeon,7,2.57,4.32,3.52
dunk,4,2.59,4.52,4.67
duo,3,1.51,3.7,6.45
duplicate,9,2.29,3.46,4.7
duration,8,1.59,2.08,5.43
duress,6,1.16,2.27,2.82
dusk,4,1.20,4.24,5.63
dust,4,23.84,4.4,3.72
dusty,5,5.55,3.79,3.95
duty,4,50.96,2.19,5.33
dwarf,5,3.08,4.45,4.71
dwell,5,2.78,2.62,4.75
dwelling,8,1.33,4.14,5.21
dye,3,3.86,4.58,5.25
dynamic,7,2.10,2.44,6.1
dynamite,8,10.10,4.68,4.79
dynasty,7,2.55,2.46,5.16
eager,5,6.86,1.93,6.37
eagle,5,11.49,5,6.47
ear,3,32.00,5,5.86
earl,4,20.43,2.85,5.15
earn,4,15.35,2.39,7
earnest,7,1.57,2.24,5.9
earring,7,2.71,4.96,6.45
earth,5,99.49,4.8,6.83
earthly,7,1.49,2.41,5.63
earthquake,10,6.37,3.97,3.05
ease,4,19.10,2.32,6.15
east,4,49.55,3.04,6.33
eastern,7,8.12,3.11,5.37
easy,4,265.71,2.07,7.47
eat,3,251.88,4.44,7.1
eccentric,9,3.51,1.81,5.37
echo,4,6.86,3.64,5.2
eclipse,7,2.82,4.17,6.76
economic,8,4.96,2.2,5.1
economics,9,2.47,1.77,5.2
economy,7,5.80,2.57,3.64
ecstasy,7,3.18,2.04,7.19
ecstatic,8,1.35,2.41,6.45
edema,5,1.06,3.92,3.86
edge,4,23.51,4.24,4.43
edgy,4,2.27,1.87,4.81
edible,6,1.37,3.55,6.68
edit,4,1.51,3.28,4.95
editing,7,2.12,3.17,5.45
edition,7,4.88,3.21,5.3
editor,6,12.41,4.25,5.43
editorial,9,2.18,3.44,5.18
educate,7,2.04,2.12,7.48
education,9,19.53,2.93,6.58
educational,11,3.27,2.1,6.6
eel,3,1.43,4.69,4.14
eerie,5,1.75,1.63,3.4
effect,6,23.90,1.8,5.5
effective,9,10.51,2.04,6.95
efficiency,10,2.73,2.15,6.74
efficient,9,4.96,1.82,6.95
effort,6,19.35,2.33,6.47
egg,3,26.04,4.97,5.95
egghead,7,1.12,3.17,4.47
eggnog,6,1.55,5,6
eggplant,8,1.10,4.97,5.55
ego,3,7.49,1.74,4.38
eight,5,98.24,4.04,5.37
eighteen,8,6.08,3.96,5.72
eighty,6,2.53,3.41,5.43
eject,5,1.41,3.22,3.95
elaborate,9,4.75,2.68,6.38
elastic,7,1.04,3.73,5.71
elbow,5,6.14,5,5.38
elder,5,7.04,3.59,6.11
elderly,7,4.10,3.68,4.63
elect,5,1.41,2.41,5.52
election,8,10.98,3.17,4.5
elective,8,1.02,2.38,5.38
electric,8,17.14,3.56,6.1
electrical,10,8.63,3.39,5.57
electrician,11,1.49,4.21,5.21
electricity,11,11.45,3.9,6.15
electronic,10,6.86,3.3,6.52
electronics,11,2.73,4.37,6.5
elegance,8,1.27,2.18,6.91
elegant,7,6.27,2.31,7
element,7,6.63,3.63,5.58
elementary,10,4.75,2.24,6.11
elephant,8,11.37,5,6.17
elevator,8,24.41,4.79,5.95
eleven,6,12.98,3.93,5
elf,3,3.78,4.3,6.1
eligible,8,3.31,2.46,6.45
eliminate,9,5.98,2.77,3.89
elimination,11,1.29,2,3.86
elite,5,2.96,2.19,5.71
elk,3,6.00,4.93,5.81
elm,3,1.43,4.69,6.32
elope,5,1.31,2.81,6.58
elusive,7,1.41,1.9,4.3
embark,6,1.25,2.48,5.89
embarrass,9,8.82,2.14,3.38
embarrassed,11,21.43,2,3.51
embarrassing,12,22.84,2.11,3.53
embarrassment,13,4.84,2.43,2.72
embassy,7,7.78,3.96,5.3
embrace,7,7.57,3.38,7
emerald,7,2.57,4.93,7.3
emerge,6,1.73,2.27,5.75
emergency,9,54.43,2.41,2.72
eminence,8,1.88,1.95,5.43
eminent,7,1.65,2.03,5.58
emissary,8,1.00,3.09,4.76
emotion,7,8.29,2.44,6.62
emotional,9,21.20,2,5.11
empathy,7,1.14,1.63,7.29
emperor,7,13.53,4.35,4.68
emphasis,8,1.27,2.12,5.26
emphasize,9,1.10,2,5.75
empire,6,12.67,3,5.36
employ,6,3.35,2.41,5.89
employee,8,11.57,4.1,5.29
employer,8,5.37,3.81,5.3
employment,10,5.33,3.3,6
emptiness,9,1.80,2.32,3.26
empty,5,47.24,3.43,3.78
enable,6,1.47,2.03,5.13
enchanted,9,2.76,2.07,7.16
enchanting,10,2.04,2.07,6.8
encore,6,2.47,2.81,6.9
encounter,9,5.57,2.93,5.16
encourage,9,6.04,2.61,7.16
encouragement,13,2.20,1.96,6.7
encouraging,11,3.24,2,6.89
encyclopedia,12,1.59,4.79,6.14
end,3,265.86,3.14,4.73
endanger,8,1.67,1.96,2.67
endeavor,8,1.49,2.21,6.42
ending,6,15.92,2.31,4.23
endless,7,6.63,1.82,4
endorse,7,1.73,2.41,5.2
endorsement,11,1.39,2.53,6.05
endurance,9,1.33,2,6.86
endure,6,4.41,2,4.95
enema,5,1.41,4.44,3.29
enemy,5,48.51,2.83,2.22
energetic,9,1.29,2.83,7.57
energy,6,32.90,3.11,6.9
enforce,7,1.69,2.4,5.32
enforcement,11,6.65,2.48,4.67
engage,6,6.16,2.07,6.6
engaged,7,26.02,2.37,6.78
engagement,10,13.06,2.75,6.65
engine,6,31.88,4.86,5.48
engineer,8,11.69,4.64,5.79
engineering,11,6.53,2.69,6
enhance,7,2.45,2.21,6.62
enjoy,5,82.78,2.29,7.67
enjoyable,9,1.94,2.04,7.63
enjoyment,9,1.35,2.17,8.37
enlighten,9,2.12,1.48,7.38
enlightenment,13,1.45,1.5,6.79
enlist,6,1.57,2.71,4.42
enormous,8,10.31,2.9,5.68
ensemble,8,1.12,3.7,5.67
ensure,6,4.96,1.68,5.71
enter,5,29.73,3.12,6.09
enterprise,10,8.10,2.04,6
entertain,9,6.14,2.55,7.21
entertainer,11,1.65,4.17,6.48
entertaining,12,5.65,2.04,8
entertainment,13,12.55,2.92,7.59
enthusiasm,10,4.49,2.34,7.14
enthusiastic,12,2.78,2.76,7.55
entire,6,79.80,2.03,5.67
